prctseq,display_code,code4,polling_location,mentioned_codes,pdf_url,pdf_filename,override_targets,override_vtd20s,override_vtd_names,override_weights,override_source,override_confidence,status
0076,07-07,0707,St Stephen's Methodist Church1301 - St Stephen's Methodist Church,0707;1302;0705;0708;0709;0607;1304;1301;1305;1306;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0707.pdf,PrecinctPollingLoc_0707.pdf,0,,,,,,needs_review
0077,07-08,0708,Greater Galatian Baptist Church,0706;0708;0710;1304;0709;0807;0801;0705;0707;1307;1308;0806;0804;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0708.pdf,PrecinctPollingLoc_0708.pdf,0,,,,,,needs_review
0078,07-09,0709,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0709.pdf,PrecinctPollingLoc_0709.pdf,1,008257,Memphis 95-7,1.0,shelby_geometry_review,core_tn08,resolved
0079,07-10,0710,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0710.pdf,PrecinctPollingLoc_0710.pdf,1,008146,Memphis 52-1,1.0,shelby_geometry_review,sliver_only,resolved
0080,08-01,0801,Grace Missionary Baptist Church,0607;0704;0706;0802;0801;0705;0803;0104;0701;0702;0703;0804;0605;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0801.pdf,PrecinctPollingLoc_0801.pdf,0,,,,,,needs_review
0081,08-02,0802,Word of Life SDA Church,0802;0801;0803;0804;0104;0701;0702;0706;0708;0805;0806;0710;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0802.pdf,PrecinctPollingLoc_0802.pdf,0,,,,,,needs_review
0082,08-03,0803,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0803.pdf,PrecinctPollingLoc_0803.pdf,1,008178,Memphis 67-3,1.0,shelby_geometry_review,core_tn08,resolved
0083,08-04,0804,Lewis Center,0803;0804;0801;0706;0708;0805;0806;0710;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0804.pdf,PrecinctPollingLoc_0804.pdf,0,,,,,,needs_review
0084,08-05,0805,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0805.pdf,PrecinctPollingLoc_0805.pdf,1,008255,Memphis 95-5,1.0,shelby_geometry_review,core_tn08,resolved
0085,08-06,0806,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0806.pdf,PrecinctPollingLoc_0806.pdf,1,008258,Memphis 95-8,1.0,shelby_geometry_review,core_tn08,resolved
0086,08-07,0807,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0807.pdf,PrecinctPollingLoc_0807.pdf,1,008154,Memphis 55-2,1.0,shelby_geometry_review,core_tn08,resolved
0087,08-08,0808,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0808.pdf,PrecinctPollingLoc_0808.pdf,1,008157,Memphis 57,1.0,shelby_geometry_review,core_tn08,resolved
0088,08-09,0809,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0809.pdf,PrecinctPollingLoc_0809.pdf,1,008271,Collierville 9,1.0,shelby_geometry_review,boundary_split,resolved
0089,08-10,0810,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0810.pdf,PrecinctPollingLoc_0810.pdf,1,008158,Memphis 58-1,1.0,shelby_geometry_review,sliver_only,resolved
0090,08-11,0811,Memphis ROX,0811;1307;1002;0812;0810;0809;1003;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0811.pdf,PrecinctPollingLoc_0811.pdf,0,,,,,,needs_review
