precinct_key,county_norm,prec_id,district_num,dominant_weight,total_weight,split_count,is_split
CARROLL - 000804,CARROLL,000804,79,1.0,1.0,1,0
CARROLL - 000805,CARROLL,000805,79,0.9134184918,1.0,2,1
CARROLL - 000806,CARROLL,000806,79,1.0,1.0,1,0
CARROLL - 000807,CARROLL,000807,79,0.8783938474,1.0,2,1
CARROLL - 000808,CARROLL,000808,76,0.9999964163,1.0,2,1
CARROLL - 000809,CARROLL,000809,76,0.9999972063,1.0,2,1
CARROLL - 000810,CARROLL,000810,79,0.980814899,1.0,2,1
CARROLL - 000811,CARROLL,000811,76,0.9998774422,1.0,2,1
CARROLL - 000812,CARROLL,000812,79,0.9999575034,1.0,3,1
CARROLL - 000813,CARROLL,000813,79,1.0,1.0,1,0
CARROLL - 000814,CARROLL,000814,76,0.9998839545,1.0,3,1
CARROLL - 000815,CARROLL,000815,76,0.9988377709,1.0,2,1
CARROLL - 000816,CARROLL,000816,79,0.9999316475,1.0,3,1
CARROLL - 000817,CARROLL,000817,79,0.9995963869,1.0,2,1
CARROLL - 000818,CARROLL,000818,76,1.0,1.0,1,0
CARROLL - 000819,CARROLL,000819,79,0.9996395612,1.0,3,1
CARTER - 000901,CARTER,000901,4,0.9998055899,1.0,2,1
CARTER - 000902,CARTER,000902,4,0.9998861394,1.0,3,1
CARTER - 000903,CARTER,000903,4,1.0,1.0,1,0
CARTER - 000904,CARTER,000904,4,1.0,1.0,1,0
CARTER - 000905,CARTER,000905,4,1.0,1.0,1,0
CARTER - 000906,CARTER,000906,4,1.0,1.0,1,0
CARTER - 000907,CARTER,000907,4,0.9996538026,1.0,2,1
CARTER - 000908,CARTER,000908,4,0.9993570794,1.0,2,1
CARTER - 000909,CARTER,000909,4,0.9984924527,1.0,2,1
CARTER - 000910,CARTER,000910,4,1.0,1.0,1,0
CARTER - 000911,CARTER,000911,4,0.8606014269,1.0,2,1
CARTER - 000912,CARTER,000912,4,1.0,1.0,1,0
CARTER - 000913,CARTER,000913,3,0.9999169784,1.0,2,1
CARTER - 000914,CARTER,000914,3,0.9999355577,0.9999355577,1,0
